iter	RMSE
0	0.9137719502
1	0.8934763839
2	0.8751037696
3	0.858142636
4	0.8429364134
5	0.8284717766
6	0.8158258812
7	0.8032136974
8	0.7913949691
9	0.781365771
10	0.7715877052
11	0.762842957
12	0.7552106838
13	0.7478373304
14	0.7414288163
15	0.7344207246
16	0.7282825441
17	0.722873455
18	0.7175084909
19	0.7126201041
20	0.7083726476
21	0.7045742738
22	0.7009643898
23	0.6976188712
24	0.6941405272
25	0.6911028433
26	0.6882511057
27	0.6854659709
28	0.682971863
29	0.6807419648
30	0.678492223
31	0.6766983354
32	0.6748194483
33	0.6730490555
34	0.6716821703
35	0.670036983
36	0.6685218787
37	0.6671166224
38	0.6655236288
39	0.6639263346
40	0.6626055999
41	0.6616147498
42	0.6605024341
43	0.659420065
44	0.6583283752
45	0.6573100208
46	0.656553406
47	0.6556351407
48	0.6547457077
49	0.6538175956
50	0.6528150776
51	0.6519974755
52	0.6509633794
53	0.6501539064
54	0.6493832764
55	0.6487169068
56	0.6480726438
57	0.6473362829
58	0.6466870911
59	0.646034315
60	0.6455249556
61	0.6450988986
62	0.6444374312
63	0.6437603257
64	0.6431604829
65	0.6426895458
66	0.6420592222
67	0.6415517387
68	0.6413774631
69	0.6409262906
70	0.6404784491
71	0.6399943793
72	0.639699565
73	0.6393413251
74	0.6386248386
75	0.6381336542
76	0.6376140368
77	0.6370105961
78	0.6364572404
79	0.6361255241
80	0.6359580763
81	0.6356118062
82	0.6352005454
83	0.6347743602
84	0.6345425113
85	0.6341670646
86	0.6336553979
87	0.6332926534
88	0.6329943047
89	0.6323706098
90	0.6320686782
91	0.6316921997
92	0.631256833
93	0.6308449309
94	0.6304153148
95	0.6301540513
96	0.6296012821
97	0.6291907775
98	0.6285390333
99	0.628150121
100	0.6277244411
101	0.6274448319
102	0.6271964253
103	0.6269688165
104	0.6265873896
105	0.6261734093
106	0.6255484557
107	0.62520297
108	0.6247042712
109	0.624439225
110	0.6239146201
111	0.6236637249
112	0.6234394934
113	0.6231162193
114	0.622794161
115	0.622572789
116	0.6222189344
117	0.6218567927
118	0.6215957607
119	0.6212864898
120	0.6209013636
121	0.6205897256
122	0.6203119015
123	0.6198738234
124	0.6194917047
125	0.6191697505
126	0.618949451
127	0.6183747858
128	0.6180314514
129	0.6177018964
130	0.6174159664
131	0.6171501864
132	0.6166392527
133	0.6164148033
134	0.6159867344
135	0.6153990337
136	0.6151351914
137	0.6149166662
138	0.61455816
139	0.6141521209
140	0.6137489875
141	0.6134262226
142	0.6130332961
143	0.6128312085
144	0.6123423912
145	0.61196724
146	0.6114557917
147	0.6111046605
148	0.6107847497
149	0.6105427506
150	0.6101133383
151	0.6097967155
152	0.6093749936
153	0.6089568743
154	0.608715448
155	0.6083147269
156	0.6078634781
157	0.6074260508
158	0.6070106572
159	0.6066532975
160	0.6063232051
161	0.6060233344
162	0.605751554
163	0.6052942095
164	0.6049940924
165	0.6047070362
166	0.6044584464
167	0.6041521507
168	0.6038623302
169	0.6036239984
170	0.6033254989
171	0.603094732
172	0.6026919865
173	0.602343887
174	0.6020274519
175	0.6016000412
176	0.6012502173
177	0.6007954221
178	0.6005194045
179	0.6000213044
180	0.5996598429
181	0.5990895803
182	0.5987566784
183	0.5984631381
184	0.5981597638
185	0.5979044674
186	0.5974140723
187	0.5971893441
188	0.5969568323
189	0.5966637579
190	0.5962579162
191	0.5958706089
192	0.595647508
193	0.5953970781
194	0.5952040225
195	0.5949501215
196	0.594448076
197	0.5939151998
198	0.5934765042
199	0.5931044739
200	0.592723038
201	0.5923736979
202	0.5920438057
203	0.5917626829
204	0.5915048773
205	0.5911312807
206	0.5907102878
207	0.5902017408
208	0.5899830487
209	0.5897741547
210	0.5895589335
211	0.5893513351
212	0.5888995481
213	0.5885340483
214	0.5883183217
215	0.5880588024
216	0.5877644784
217	0.5875124156
218	0.5871913564
219	0.5869127755
220	0.5867429492
221	0.5864058486
222	0.5860083926
223	0.5857521106
224	0.5854672019
225	0.5851912975
226	0.5849322102
227	0.5847063572
228	0.584309089
229	0.5841058524
230	0.5837266685
231	0.5833740537
232	0.5832676469
233	0.582887024
234	0.5827447551
235	0.5824602325
236	0.5821857166
237	0.5818158451
238	0.5814878218
239	0.5813901052
240	0.5810764599
241	0.5807623696
242	0.5805553702
243	0.5802706689
244	0.5801435046
245	0.5799458633
246	0.5797800939
247	0.5796031012
248	0.5791960815
249	0.5790767827
250	0.5788106696
251	0.578429363
252	0.5781108288
253	0.5778693517
254	0.5775744766
255	0.5772970059
256	0.577096812
257	0.576957517
258	0.5766332275
259	0.5762378836
260	0.5758763481
261	0.575725902
262	0.5756692875
263	0.5754142261
264	0.5753320635
265	0.5750717809
266	0.5748136898
267	0.5744856405
268	0.574215375
269	0.5741077429
270	0.5737567836
271	0.5733698105
272	0.5731396288
273	0.5728459761
274	0.5722387538
275	0.5719685411
276	0.5716228747
277	0.5712243718
278	0.5710024545
279	0.5706335196
280	0.5702586355
281	0.5697001313
282	0.5694161807
283	0.5693160026
284	0.5688908658
285	0.5688245831
286	0.5685760551
287	0.5684574639
288	0.5682062264
289	0.5679597442
290	0.5676222737
291	0.5672968975
292	0.5669370499
293	0.5667097099
