iter	Passed	Remaining
0	151	151121
1	157	78524
2	163	54309
3	168	41864
4	172	34287
5	176	29231
6	179	25495
7	182	22675
8	185	20475
9	188	18694
10	191	17243
11	194	16015
12	196	14955
13	199	14016
14	201	13202
15	202	12480
16	204	11848
17	206	11267
18	208	10761
19	210	10298
20	212	9885
21	213	9501
22	215	9145
23	216	8824
24	218	8519
25	220	8253
26	222	8003
27	223	7771
28	225	7558
29	227	7359
30	229	7164
31	230	6982
32	232	6815
33	234	6656
34	236	6507
35	237	6365
36	239	6231
37	241	6108
38	243	5998
39	245	5880
40	246	5769
41	248	5664
42	250	5569
43	251	5472
44	253	5381
45	255	5293
46	256	5209
47	258	5133
48	260	5052
49	262	4981
50	263	4910
51	265	4844
52	267	4778
53	269	4714
54	270	4655
55	272	4595
56	274	4540
57	276	4483
58	278	4434
59	279	4382
60	281	4333
61	283	4284
62	285	4240
63	286	4195
64	288	4149
65	290	4108
66	291	4065
67	293	4024
68	294	3976
69	296	3937
70	298	3900
71	299	3862
72	301	3828
73	303	3792
74	304	3759
75	306	3726
76	308	3695
77	309	3662
78	311	3629
79	313	3599
80	314	3570
81	316	3540
82	317	3511
83	319	3484
84	321	3456
85	322	3428
86	324	3404
87	326	3380
88	328	3358
89	329	3335
90	331	3313
91	333	3289
92	335	3269
93	337	3248
94	338	3226
95	340	3204
96	342	3184
97	343	3165
98	345	3146
99	347	3124
100	348	3105
101	350	3086
102	352	3066
103	353	3046
104	355	3026
105	356	3009
106	358	2992
107	360	2974
108	361	2958
109	363	2940
110	365	2924
111	366	2907
112	368	2892
113	370	2876
114	371	2862
115	373	2848
116	375	2835
117	377	2819
118	379	2806
119	380	2792
120	382	2777
121	383	2763
122	385	2748
123	387	2736
124	389	2723
125	390	2710
126	392	2696
127	393	2683
128	395	2671
129	397	2659
130	399	2648
131	400	2635
132	402	2622
133	403	2610
134	405	2599
135	407	2588
136	408	2575
137	410	2564
138	412	2554
139	414	2543
140	415	2532
141	417	2521
142	419	2511
143	420	2501
144	422	2490
145	423	2479
146	425	2469
147	427	2460
148	428	2450
149	430	2441
150	432	2430
151	433	2421
152	435	2412
153	437	2402
154	438	2393
155	440	2383
156	442	2373
157	443	2363
158	445	2354
159	446	2344
160	448	2335
161	450	2327
162	451	2319
163	453	2310
164	454	2302
165	456	2292
166	458	2284
167	459	2277
168	461	2269
169	463	2260
170	464	2253
171	466	2245
172	468	2237
173	469	2229
174	471	2222
175	473	2214
176	474	2208
177	476	2201
178	478	2193
179	479	2186
180	481	2179
181	483	2171
182	484	2163
183	486	2156
184	487	2149
185	489	2143
186	491	2136
187	492	2129
188	494	2123
189	496	2117
190	498	2110
191	499	2104
192	501	2097
193	503	2089
194	504	2082
195	506	2075
196	507	2068
197	509	2062
198	510	2055
199	512	2049
200	514	2043
201	515	2037
202	517	2030
203	518	2024
204	520	2018
205	522	2012
206	523	2007
207	525	2000
208	527	1995
209	528	1989
210	530	1983
211	532	1977
212	533	1971
213	535	1965
214	536	1959
215	538	1954
216	540	1948
217	541	1942
218	543	1936
219	544	1930
220	546	1925
221	547	1919
222	549	1914
223	550	1908
224	552	1902
225	554	1897
226	555	1892
227	557	1886
228	558	1881
229	560	1876
230	562	1871
231	563	1866
232	565	1861
233	566	1855
234	568	1851
235	570	1846
236	572	1841
237	573	1836
238	575	1831
239	576	1826
240	578	1822
241	580	1817
242	581	1812
243	583	1807
244	585	1802
245	586	1798
246	588	1793
247	589	1788
248	591	1784
249	593	1779
250	594	1774
251	596	1770
252	598	1765
253	599	1761
254	601	1756
255	603	1752
256	604	1747
257	606	1743
258	607	1738
259	609	1734
260	611	1730
261	612	1725
262	614	1721
263	615	1716
264	617	1712
265	619	1708
266	620	1704
267	622	1699
268	624	1695
269	625	1691
270	627	1687
271	629	1683
272	630	1680
273	633	1677
274	635	1674
275	637	1671
276	639	1668
277	641	1666
278	643	1663
279	645	1660
280	648	1658
281	651	1657
282	653	1655
283	655	1652
284	657	1650
285	660	1647
286	662	1645
287	664	1643
288	666	1640
289	669	1637
290	671	1636
291	674	1634
292	676	1631
293	678	1629
294	680	1626
295	682	1624
296	685	1622
297	687	1620
298	690	1619
299	693	1617
300	695	1615
301	698	1613
302	700	1610
303	702	1609
304	705	1607
305	707	1604
306	710	1603
307	712	1600
308	714	1598
309	716	1595
310	719	1594
311	722	1592
312	724	1589
313	726	1587
314	728	1585
315	731	1582
316	733	1580
317	735	1577
318	737	1575
319	740	1572
320	742	1569
321	744	1568
322	746	1565
323	749	1562
324	751	1561
325	753	1558
326	755	1555
327	758	1553
328	760	1551
329	762	1548
330	765	1547
331	767	1545
332	769	1542
333	772	1540
334	774	1538
335	777	1536
336	780	1534
337	782	1532
338	785	1531
339	787	1528
340	790	1527
341	792	1525
342	795	1523
343	797	1521
344	800	1519
345	802	1516
346	805	1515
347	807	1513
348	809	1510
349	812	1508
350	814	1506
351	817	1504
352	819	1502
353	822	1501
354	824	1498
355	827	1496
356	829	1494
357	831	1491
358	834	1489
359	836	1486
360	838	1484
361	841	1482
362	843	1480
363	845	1477
364	848	1475
365	850	1473
366	852	1471
367	855	1468
368	857	1466
369	859	1463
370	862	1461
371	864	1459
372	866	1455
373	867	1452
374	869	1449
375	871	1445
376	872	1441
377	874	1438
378	875	1434
379	877	1431
380	879	1428
381	880	1425
382	882	1421
383	884	1418
384	886	1415
385	887	1411
386	889	1408
387	890	1405
388	892	1401
389	894	1398
390	895	1395
391	897	1391
392	899	1388
393	900	1385
394	902	1382
395	903	1378
396	905	1375
397	907	1372
398	908	1368
399	910	1365
400	912	1362
401	913	1359
402	915	1356
403	917	1353
404	918	1349
405	920	1346
406	921	1343
407	923	1339
408	925	1336
409	926	1333
410	928	1330
411	929	1326
412	931	1324
413	933	1320
414	934	1317
415	936	1314
416	938	1311
417	940	1309
418	941	1305
419	943	1302
420	945	1299
421	946	1297
422	948	1293
423	950	1290
424	951	1287
425	953	1284
426	955	1282
427	957	1279
428	959	1277
429	962	1275
430	964	1272
431	965	1270
432	968	1267
433	970	1265
434	972	1263
435	974	1260
436	975	1257
437	977	1253
438	978	1250
439	980	1247
440	982	1244
441	983	1242
442	985	1239
443	987	1236
444	988	1232
445	990	1229
446	991	1226
447	993	1223
448	994	1220
449	996	1217
450	997	1214
451	999	1212
452	1001	1209
453	1003	1206
454	1005	1203
455	1006	1201
456	1008	1198
457	1009	1195
458	1011	1192
459	1013	1189
460	1015	1187
461	1016	1184
462	1018	1181
463	1020	1178
464	1021	1175
465	1023	1172
466	1024	1169
467	1026	1167
468	1028	1164
469	1030	1161
470	1032	1159
471	1033	1156
472	1035	1153
473	1037	1151
474	1038	1148
475	1040	1145
476	1042	1142
477	1043	1139
478	1045	1137
479	1047	1134
480	1048	1131
481	1050	1128
482	1052	1126
483	1053	1123
484	1055	1120
485	1057	1118
486	1059	1115
487	1060	1113
488	1062	1110
489	1064	1107
490	1065	1105
491	1067	1102
492	1069	1099
493	1070	1097
494	1072	1094
495	1074	1091
496	1075	1088
497	1077	1086
498	1079	1083
499	1081	1081
500	1083	1078
501	1084	1076
502	1086	1073
503	1088	1070
504	1089	1068
505	1091	1065
506	1093	1062
507	1094	1060
508	1096	1057
509	1098	1055
510	1100	1052
511	1101	1050
512	1103	1047
513	1105	1045
514	1107	1042
515	1109	1040
516	1111	1037
517	1112	1035
518	1114	1032
519	1116	1030
520	1118	1027
521	1119	1025
522	1121	1022
523	1123	1020
524	1124	1017
525	1126	1015
526	1128	1012
527	1130	1010
528	1131	1007
529	1133	1004
530	1135	1002
531	1136	999
532	1138	997
533	1139	994
534	1141	992
535	1143	989
536	1144	987
537	1146	984
538	1148	981
539	1149	979
540	1151	976
541	1153	974
542	1154	971
543	1156	969
544	1158	966
545	1159	964
546	1161	962
547	1163	959
548	1165	957
549	1167	954
550	1168	952
551	1170	950
552	1172	947
553	1173	945
554	1175	942
555	1177	940
556	1178	937
557	1180	935
558	1182	932
559	1183	930
560	1185	927
561	1187	925
562	1188	922
563	1190	920
564	1191	917
565	1193	915
566	1195	912
567	1197	910
568	1198	908
569	1200	905
570	1202	903
571	1204	900
572	1205	898
573	1207	895
574	1208	893
575	1210	890
576	1212	888
577	1213	886
578	1215	883
579	1217	881
580	1218	879
581	1220	876
582	1222	874
583	1223	871
584	1225	869
585	1227	867
586	1228	864
587	1230	862
588	1232	859
589	1233	857
590	1235	854
591	1236	852
592	1238	850
593	1240	847
594	1241	845
595	1243	842
596	1244	840
597	1246	838
598	1248	835
599	1249	833
600	1251	830
601	1253	828
602	1254	826
603	1256	823
604	1257	821
605	1259	818
606	1260	816
607	1262	814
608	1264	811
609	1265	809
610	1267	806
611	1269	804
612	1271	802
613	1272	800
614	1274	797
615	1275	795
616	1277	793
617	1279	790
618	1280	788
619	1282	785
620	1283	783
621	1285	781
622	1287	779
623	1289	776
624	1290	774
625	1292	772
626	1294	769
627	1296	767
628	1297	765
629	1299	763
630	1301	760
631	1302	758
632	1304	756
633	1306	754
634	1307	751
635	1309	749
636	1310	747
637	1312	744
638	1314	742
639	1316	740
640	1317	738
641	1319	735
642	1321	733
643	1322	731
644	1324	728
645	1326	726
646	1327	724
647	1329	722
648	1331	720
649	1333	717
650	1334	715
651	1336	713
652	1338	711
653	1339	708
654	1341	706
655	1343	704
656	1345	702
657	1346	699
658	1348	697
659	1349	695
660	1351	693
661	1352	690
662	1354	688
663	1355	686
664	1357	683
665	1359	681
666	1361	679
667	1362	677
668	1364	675
669	1366	672
670	1367	670
671	1369	668
672	1370	666
673	1372	663
674	1374	661
675	1375	659
676	1377	657
677	1379	655
678	1381	653
679	1382	650
680	1384	648
681	1386	646
682	1387	644
683	1389	642
684	1391	639
685	1392	637
686	1394	635
687	1395	632
688	1397	630
689	1399	628
690	1400	626
691	1402	624
692	1403	621
693	1405	619
694	1406	617
695	1408	615
696	1410	613
697	1411	610
698	1413	608
699	1415	606
700	1417	604
701	1418	602
702	1420	600
703	1422	598
704	1424	595
705	1426	593
706	1427	591
707	1429	589
708	1430	587
709	1432	585
710	1434	583
711	1436	580
712	1437	578
713	1439	576
714	1441	574
715	1442	572
716	1444	570
717	1445	567
718	1447	565
719	1449	563
720	1450	561
721	1452	559
722	1454	557
723	1456	555
724	1457	552
725	1459	550
726	1461	548
727	1462	546
728	1464	544
729	1466	542
730	1468	540
731	1469	538
732	1471	535
733	1472	533
734	1474	531
735	1476	529
736	1477	527
737	1479	525
738	1481	523
739	1482	520
740	1484	518
741	1486	516
742	1487	514
743	1489	512
744	1491	510
745	1492	508
746	1494	506
747	1495	503
748	1497	501
749	1499	499
750	1500	497
751	1502	495
752	1503	493
753	1505	491
754	1507	489
755	1508	487
756	1510	484
757	1512	482
758	1513	480
759	1515	478
760	1517	476
761	1518	474
762	1520	472
763	1522	470
764	1523	468
765	1525	466
766	1527	463
767	1528	461
768	1530	459
769	1532	457
770	1534	455
771	1535	453
772	1537	451
773	1539	449
774	1540	447
775	1542	445
776	1544	443
777	1545	441
778	1547	439
779	1548	436
780	1550	434
781	1552	432
782	1554	430
783	1555	428
784	1557	426
785	1559	424
786	1560	422
787	1562	420
788	1563	418
789	1565	416
790	1566	414
791	1568	411
792	1570	409
793	1572	407
794	1573	405
795	1575	403
796	1577	401
797	1578	399
798	1580	397
799	1582	395
800	1583	393
801	1585	391
802	1587	389
803	1588	387
804	1590	385
805	1592	383
806	1593	381
807	1595	379
808	1596	377
809	1598	374
810	1599	372
811	1601	370
812	1603	368
813	1605	366
814	1606	364
815	1608	362
816	1610	360
817	1611	358
818	1613	356
819	1615	354
820	1616	352
821	1618	350
822	1620	348
823	1621	346
824	1623	344
825	1625	342
826	1626	340
827	1628	338
828	1629	336
829	1631	334
830	1633	332
831	1635	330
832	1636	328
833	1638	326
834	1640	324
835	1641	322
836	1643	320
837	1645	318
838	1647	316
839	1649	314
840	1650	312
841	1652	310
842	1654	308
843	1655	306
844	1657	304
845	1659	302
846	1661	300
847	1662	298
848	1664	295
849	1665	293
850	1667	291
851	1669	289
852	1670	287
853	1672	285
854	1674	283
855	1676	281
856	1678	279
857	1679	277
858	1681	275
859	1682	273
860	1684	271
861	1686	269
862	1687	267
863	1689	265
864	1691	263
865	1692	261
866	1694	259
867	1696	257
868	1697	255
869	1699	253
870	1700	251
871	1702	249
872	1704	247
873	1705	245
874	1707	243
875	1709	241
876	1711	239
877	1712	237
878	1714	236
879	1716	234
880	1717	232
881	1719	230
882	1721	228
883	1722	226
884	1724	224
885	1726	222
886	1728	220
887	1729	218
888	1731	216
889	1732	214
890	1734	212
891	1736	210
892	1738	208
893	1739	206
894	1741	204
895	1743	202
896	1744	200
897	1746	198
898	1748	196
899	1750	194
900	1752	192
901	1753	190
902	1755	188
903	1756	186
904	1758	184
905	1760	182
906	1762	180
907	1763	178
908	1765	176
909	1766	174
910	1768	172
911	1770	170
912	1771	168
913	1773	166
914	1775	164
915	1776	162
916	1778	160
917	1780	159
918	1781	157
919	1783	155
920	1785	153
921	1787	151
922	1788	149
923	1790	147
924	1792	145
925	1793	143
926	1795	141
927	1797	139
928	1799	137
929	1800	135
930	1802	133
931	1803	131
932	1805	129
933	1807	127
934	1808	125
935	1810	123
936	1812	121
937	1813	119
938	1815	117
939	1817	115
940	1818	114
941	1820	112
942	1822	110
943	1823	108
944	1825	106
945	1827	104
946	1828	102
947	1830	100
948	1832	98
949	1834	96
950	1836	94
951	1839	92
952	1841	90
953	1844	88
954	1846	86
955	1848	85
956	1851	83
957	1853	81
958	1855	79
959	1858	77
960	1860	75
961	1862	73
962	1864	71
963	1867	69
964	1869	67
965	1872	65
966	1874	63
967	1877	62
968	1879	60
969	1882	58
970	1884	56
971	1886	54
972	1888	52
973	1890	50
974	1893	48
975	1895	46
976	1898	44
977	1900	42
978	1902	40
979	1905	38
980	1907	36
981	1909	35
982	1912	33
983	1914	31
984	1916	29
985	1919	27
986	1921	25
987	1924	23
988	1927	21
989	1929	19
990	1931	17
991	1934	15
992	1936	13
993	1939	11
994	1941	9
995	1944	7
996	1946	5
997	1949	3
998	1951	1
999	1953	0
