iter	MultiClass
0	1.080083886
1	1.062422264
2	1.045296845
3	1.029186729
4	1.014118708
5	0.9997602072
6	0.9857552084
7	0.9720817556
8	0.9588066561
9	0.946148811
10	0.9345173199
11	0.9228583429
12	0.9118837006
13	0.9010284048
14	0.8912277161
15	0.8814260085
16	0.8718022761
17	0.8624529604
18	0.8534790276
19	0.8445402949
20	0.8360734196
21	0.8277514223
22	0.8196419468
23	0.8116937115
24	0.8040803638
25	0.7968318854
26	0.7898404656
27	0.7828921621
28	0.7765540995
29	0.7703292982
30	0.7641963182
31	0.7583163648
32	0.7524699709
33	0.7470243392
34	0.7415770938
35	0.7362147783
36	0.7309047522
37	0.7260329041
38	0.7213018773
39	0.7166043851
40	0.711975089
41	0.707381511
42	0.7029043655
43	0.6984019297
44	0.6943972529
45	0.6902332738
46	0.6861902422
47	0.6823471383
48	0.6785452357
49	0.6746803966
50	0.671100369
51	0.6676442908
52	0.6642247576
53	0.6609045855
54	0.6577087308
55	0.6545433319
56	0.6514754334
57	0.6485185379
58	0.645517739
59	0.6427954954
60	0.6400632169
61	0.6372148069
62	0.6344947315
63	0.6318362589
64	0.6291640095
65	0.6266756808
66	0.6242018456
67	0.6217715528
68	0.6195153058
69	0.6172475329
70	0.6150712749
71	0.612953956
72	0.6107147154
73	0.6086485233
74	0.606508612
75	0.6045069985
76	0.6025064944
77	0.6004307086
78	0.598465071
79	0.5966567947
80	0.5947366669
81	0.5929539923
82	0.5912445365
83	0.5895767634
84	0.5879580535
85	0.5862488946
86	0.5846152022
87	0.5829858949
88	0.5813331415
89	0.5798947546
90	0.5783628286
91	0.5768352612
92	0.5753871963
93	0.5739486956
94	0.5726228528
95	0.5712768865
96	0.5700607267
97	0.568866584
98	0.5675686662
99	0.5662187216
100	0.5650787097
101	0.5639392061
102	0.5627261996
103	0.5617138201
104	0.5605053991
105	0.5593270136
106	0.558430614
107	0.5573534576
108	0.5560861234
109	0.5550232643
110	0.5539953118
111	0.5529341265
112	0.5519545254
113	0.5508083455
114	0.5497033949
115	0.5487197537
116	0.5477978337
117	0.5468858102
