iter	Passed	Remaining
0	24	14941
1	46	13811
2	65	13122
3	87	12969
4	106	12623
5	127	12600
6	148	12592
7	169	12561
8	190	12506
9	209	12380
10	230	12357
11	250	12255
12	270	12216
13	290	12139
14	312	12193
15	334	12221
16	355	12190
17	377	12210
18	397	12168
19	418	12133
20	439	12118
21	460	12093
22	481	12080
23	501	12037
24	521	11993
25	541	11948
26	561	11920
27	581	11885
28	599	11810
29	620	11794
30	640	11754
31	660	11727
32	682	11732
33	706	11760
34	728	11760
35	749	11742
36	770	11730
37	791	11712
38	813	11700
39	834	11676
40	856	11671
41	876	11647
42	898	11642
43	921	11640
44	941	11609
45	963	11605
46	986	11604
47	1005	11564
48	1027	11549
49	1047	11527
50	1067	11495
51	1087	11464
52	1107	11427
53	1129	11421
54	1151	11411
55	1176	11429
56	1198	11419
57	1220	11403
58	1241	11380
59	1262	11364
60	1284	11351
61	1307	11345
62	1332	11354
63	1353	11331
64	1374	11310
65	1397	11309
66	1419	11293
67	1441	11277
68	1461	11249
69	1481	11220
70	1502	11193
71	1522	11166
72	1542	11137
73	1563	11112
74	1582	11079
75	1603	11056
76	1625	11042
77	1647	11024
78	1669	11012
79	1690	10987
80	1712	10973
81	1734	10959
82	1757	10944
83	1777	10917
84	1800	10907
85	1822	10892
86	1843	10872
87	1864	10849
88	1888	10840
89	1909	10819
90	1931	10801
91	1952	10781
92	1974	10764
93	1995	10742
94	2015	10713
95	2037	10695
96	2056	10666
97	2076	10638
98	2097	10613
99	2118	10591
100	2140	10575
101	2163	10561
102	2185	10544
103	2206	10524
104	2228	10505
105	2248	10480
106	2268	10453
107	2289	10430
108	2309	10404
109	2332	10389
110	2352	10364
111	2373	10339
112	2393	10317
113	2414	10295
114	2435	10270
115	2455	10244
116	2476	10224
117	2497	10203
118	2518	10178
119	2538	10153
120	2558	10127
121	2577	10098
122	2597	10072
123	2617	10047
124	2637	10020
125	2655	9991
126	2676	9967
127	2696	9942
128	2716	9920
129	2736	9893
130	2757	9872
131	2777	9845
132	2796	9818
133	2816	9793
134	2835	9765
135	2855	9741
136	2874	9713
137	2893	9686
138	2914	9665
139	2933	9638
140	2953	9613
141	2973	9590
142	2994	9570
143	3015	9550
144	3035	9526
145	3055	9500
146	3075	9477
147	3096	9457
148	3115	9431
149	3136	9409
150	3156	9386
151	3178	9367
152	3200	9349
153	3220	9326
154	3239	9301
155	3260	9278
156	3280	9256
157	3299	9230
158	3322	9215
159	3342	9191
160	3363	9170
161	3384	9150
162	3405	9129
163	3426	9108
164	3448	9090
165	3469	9071
166	3488	9044
167	3508	9022
168	3528	8999
169	3550	8981
170	3571	8959
171	3591	8935
172	3611	8912
173	3631	8890
174	3653	8872
175	3675	8853
176	3695	8832
177	3716	8811
178	3736	8787
179	3756	8765
180	3777	8744
181	3799	8726
182	3822	8709
183	3843	8690
184	3865	8670
185	3886	8650
186	3908	8632
187	3929	8610
188	3949	8589
189	3970	8567
190	3991	8547
191	4014	8530
192	4034	8508
193	4055	8487
194	4077	8468
195	4097	8445
196	4117	8422
197	4136	8399
198	4157	8378
199	4177	8354
200	4196	8330
201	4216	8307
202	4235	8283
203	4255	8260
204	4275	8238
205	4294	8214
206	4314	8190
207	4335	8170
208	4355	8148
209	4375	8126
210	4395	8104
211	4416	8083
212	4437	8062
213	4459	8043
214	4481	8024
215	4502	8004
216	4522	7981
217	4543	7960
218	4563	7939
219	4586	7922
220	4607	7902
221	4628	7881
222	4648	7859
223	4667	7834
224	4688	7814
225	4708	7791
226	4727	7768
227	4746	7744
228	4766	7722
229	4786	7700
230	4805	7676
231	4825	7653
232	4844	7631
233	4865	7609
234	4884	7586
235	4904	7565
236	4923	7541
237	4944	7521
238	4965	7499
239	4984	7476
240	5003	7453
241	5050	7470
242	5090	7478
243	5109	7455
244	5129	7432
245	5149	7409
246	5169	7388
247	5189	7366
248	5211	7346
249	5232	7325
250	5251	7301
251	5270	7277
252	5289	7254
253	5310	7233
254	5333	7215
255	5353	7194
256	5373	7171
257	5393	7149
258	5414	7128
259	5433	7104
260	5452	7082
261	5472	7059
262	5492	7037
263	5512	7015
264	5531	6992
265	5551	6970
266	5571	6948
267	5590	6925
268	5609	6902
269	5630	6881
270	5651	6860
271	5670	6838
272	5690	6816
273	5709	6793
274	5731	6773
275	5750	6750
276	5769	6728
277	5789	6705
278	5808	6683
279	5828	6661
280	5848	6639
281	5867	6617
282	5888	6595
283	5907	6573
284	5927	6551
285	5946	6528
286	5965	6506
287	5985	6484
288	6005	6462
289	6026	6442
290	6048	6422
291	6068	6400
292	6089	6380
293	6109	6358
294	6127	6335
295	6148	6314
296	6169	6294
297	6190	6273
298	6213	6255
299	6234	6234
300	6253	6212
301	6274	6191
302	6294	6169
303	6313	6147
304	6334	6127
305	6355	6106
306	6375	6084
307	6396	6064
308	6416	6042
309	6438	6022
310	6457	6000
311	6477	5979
312	6497	5957
313	6517	5936
314	6537	5914
315	6557	5893
316	6577	5872
317	6598	5851
318	6616	5828
319	6636	5807
320	6656	5785
321	6676	5763
322	6696	5742
323	6716	5721
324	6736	5699
325	6757	5679
326	6778	5659
327	6800	5639
328	6822	5620
329	6843	5599
330	6866	5580
331	6887	5559
332	6908	5539
333	6928	5517
334	6949	5497
335	6970	5477
336	6990	5455
337	7013	5436
338	7034	5415
339	7055	5395
340	7077	5375
341	7097	5353
342	7116	5331
343	7135	5310
344	7155	5288
345	7176	5268
346	7196	5246
347	7217	5226
348	7237	5205
349	7256	5183
350	7276	5162
351	7296	5140
352	7321	5122
353	7367	5119
354	7398	5106
355	7426	5090
356	7455	5074
357	7480	5056
358	7514	5044
359	7536	5024
360	7558	5004
361	7580	4983
362	7601	4962
363	7622	4942
364	7646	4922
365	7668	4902
366	7689	4881
367	7710	4861
368	7733	4841
369	7754	4820
370	7776	4799
371	7798	4779
372	7822	4760
373	7843	4739
374	7864	4718
375	7885	4697
376	7908	4677
377	7929	4656
378	7950	4635
379	7977	4618
380	8065	4635
381	8140	4645
382	8182	4636
383	8222	4625
384	8255	4609
